Date,E-waste (kt) per Year
2017/2/10,0.7174518462
2017/2/11,0.7142643546
2017/2/12,0.6890087387
2017/2/13,0.6558845389
2017/2/14,0.6784749893
2017/2/15,0.7188332098
2017/2/16,0.7173102581
2017/2/17,0.6975118858
2017/2/18,0.6834844466
2017/2/19,0.6869161291
2017/2/20,0.704407049
2017/2/21,0.6908913382
2017/2/22,0.6638599164
2017/2/23,0.6718103346
2017/2/24,0.652729331
2017/2/25,0.6972516727
2017/2/26,0.7274632617
2017/2/27,0.8149178615
2017/2/28,0.7918616488
2017/3/01,0.7799360215
2017/3/02,0.7250781362
2017/3/03,0.7240013759
2017/3/04,0.7180679116
2017/3/05,0.7380142424
2017/3/06,0.7205612029
2017/3/07,0.7164057173
2017/3/08,0.7064325519
2017/3/09,0.7338587568
2017/3/10,0.7396764367
2017/3/11,0.7621160589
2017/3/12,0.7288721741
2017/3/13,0.7662715445
2017/3/14,0.7413386309
2017/3/15,0.7787380013
2017/3/16,0.7247166885
2017/3/17,0.7405052424
2017/3/18,0.7413440958
2017/3/19,0.8151352906
2017/3/20,0.8194254763
2017/3/21,0.7851039904
2017/3/22,0.7499244673
2017/3/23,0.7464923187
2017/3/24,0.7464923187
2017/3/25,0.8086849052
2017/3/26,0.7859620275
2017/3/27,0.7979745476
2017/3/28,0.748208393
2017/3/29,0.7996906219
2017/3/30,0.7714976945
2017/3/31,0.778637994
2017/4/01,0.7705271816
2017/4/02,0.7768355912
2017/4/03,0.7705271816
2017/4/04,0.8074764382
2017/4/05,0.82820407
2017/4/06,0.8336112783
2017/4/07,0.800735899
2017/4/08,0.8110812438
2017/4/09,0.8200932576
2017/4/10,0.8300064728
2017/4/11,0.8101800424
2017/4/12,0.8283623128
2017/4/13,0.8116339433
2017/4/14,0.8557853268
2017/4/15,0.7749976889
2017/4/16,0.7749976889
2017/4/17,0.7834522091
2017/4/18,0.8219672458
2017/4/19,0.8041188142
2017/4/20,0.809755161
2017/4/21,0.7956642939
2017/4/22,0.8238460281
2017/4/23,0.8323005483
2017/4/24,0.864239847
2017/4/25,0.843573242
2017/4/26,0.8092000537
2017/4/27,0.8134506919
2017/4/28,0.8021527657
2017/4/29,0.8190996551
2017/4/30,0.8445199892
2017/5/01,0.8652328541
2017/5/02,0.9000681267
2017/5/03,0.871823311
2017/5/04,0.8492274585
2017/5/05,0.8435784954
2017/5/06,0.8266316059
2017/5/07,0.8774722742
2017/5/08,0.8972436452
2017/5/09,0.9402004788
2017/5/10,0.8726646478
2017/5/11,0.9564970156
2017/5/12,0.9261961598
2017/5/13,0.8837749616
2017/5/14,0.9070056178
2017/5/15,0.9362964451
2017/5/16,0.9857878429
2017/5/17,0.9615471583
2017/5/18,0.9282162169
2017/5/19,0.8857950187
2017/5/20,0.895895304
2017/5/21,0.9312463024
2017/5/22,0.9383165021
2017/5/23,0.92988427
2017/5/24,0.9286911097
2017/5/25,1.008231783
2017/5/26,1.049076994
2017/5/27,1.025429767
2017/5/28,1.003932288
2017/5/29,1.034028759
2017/5/30,1.012531279
2017/5/31,1.079173465
2017/6/01,1.063050356
2017/6/02,1.112494558
2017/6/03,1.067349852
2017/6/04,1.070080139
2017/6/05,1.057787038
2017/6/06,1.234084878
2017/6/07,1.067581363
2017/6/08,1.183888965
2017/6/09,1.186337547
2017/6/10,1.289177953
2017/6/11,1.116552985
2017/6/12,1.074927106
2017/6/13,1.094515755
2017/6/14,1.059011329
2017/6/15,1.050441295
2017/6/16,1.034525518
2017/6/17,1.111125748
2017/6/18,1.10911655
2017/6/19,1.119386148
2017/6/20,1.079591457
2017/6/21,1.120669847
2017/6/22,1.116818748
2017/6/23,1.074456658
2017/6/24,1.103981751
2017/6/25,1.116818748
2017/6/26,1.159180839
2017/6/27,1.059052261
2017/6/28,1.048782663
2017/6/29,1.039796766
2017/6/30,1.055201162
2017/7/01,1.08361334
2017/7/02,1.104382516
2017/7/03,1.24115211
2017/7/04,1.321680002
2017/7/05,1.298672033
2017/7/06,1.251377874
2017/7/07,1.178519305
2017/7/08,1.133781587
2017/7/09,1.150398454
2017/7/10,1.200758063
2017/7/11,1.214674685
2017/7/12,1.209196597
2017/7/13,1.210474818
2017/7/14,1.224717846
2017/7/15,1.236751352
2017/7/16,1.253894081
2017/7/17,1.267626448
2017/7/18,1.275278188
2017/7/19,1.27001985
2017/7/20,1.276425322
2017/7/21,1.27807343
2017/7/22,1.297936663
2017/7/23,1.316801418
2017/7/24,1.334629649
2017/7/25,1.360128165
2017/7/26,1.390602002
2017/7/27,1.405735267
2017/7/28,1.403203048
2017/7/29,1.394457719
2017/7/30,1.399075576
2017/7/31,1.410421271
2017/8/01,1.411192825
2017/8/02,1.398588428
2017/8/03,1.389516185
2017/8/04,1.397766576
2017/8/05,1.402643021
2017/8/06,1.399318172
2017/8/07,1.409071063
2017/8/08,1.423478742
2017/8/09,1.441876241
2017/8/10,1.449543682
2017/8/11,1.454705582
2017/8/12,1.465998337
2017/8/13,1.459184409
2017/8/14,1.431545346
2017/8/15,1.416146823
2017/8/16,1.397114961
2017/8/17,1.399761883
2017/8/18,1.392149309
2017/8/19,1.396669275
2017/8/20,1.415700708
2017/8/21,1.454715145
2017/8/22,1.473508685
2017/8/23,1.473032899
2017/8/24,1.429522053
2017/8/25,1.429328945
2017/8/26,1.384652932
2017/8/27,1.351147078
2017/8/28,1.263131194
2017/8/29,1.199215994
2017/8/30,1.181060506
2017/8/31,1.205626876
2017/9/01,1.209746331
2017/9/02,1.253229456
2017/9/03,1.31135953
2017/9/04,1.388256005
2017/9/05,1.526434193
2017/9/06,1.665644695
2017/9/07,1.690590438
2017/9/08,1.700120992
2017/9/09,1.757747058
2017/9/10,1.799497826
2017/9/11,1.829809229
2017/9/12,1.844008231
2017/9/13,1.847297321
2017/9/14,1.873535989
2017/9/15,1.920428956
2017/9/16,1.926083767
2017/9/17,1.933343725
